director,count,movies_from_director,my_rating,avg_rating,diff_rating
LauraPoitras,1,['Citizenfour'],4.00,3.99,0.01
CraigMoss,1,['Bad Ass'],2.00,2.55,-0.55
MarenAde,1,['Toni Erdmann'],4.00,3.96,0.04
IlyaNaishuller,1,['Hardcore Henry'],1.50,3.23,-1.73
JoelCoen,5,"['The Big Lebowski', 'No Country for Old Men', 'O Brother, Where Art Thou?', 'Blood Simple', 'Fargo']",4.10,4.08,0.02
ParkChan-wook,2,"['Oldboy', 'The Handmaiden']",4.00,4.38,-0.38
RachelGrady,1,['Jesus Camp'],3.00,3.66,-0.66
HeidiEwing,1,['Jesus Camp'],3.00,3.66,-0.66
DavidYates,1,['Fantastic Beasts and Where to Find Them'],2.00,3.18,-1.18
ChristopherStorer,1,['Bo Burnham: Make Happy'],3.50,4.21,-0.71
BoBurnham,2,"['Bo Burnham: Make Happy', 'Eighth Grade']",4.00,3.98,0.02
TerryGilliam,2,"['Fear and Loathing in Las Vegas', 'Brazil']",3.75,3.93,-0.18
DamienChazelle,3,"['Whiplash', 'La La Land', 'Babylon']",4.00,4.14,-0.14
GarethEdwards,1,['Rogue One: A Star Wars Story'],3.50,3.81,-0.31
DavidFarrier,1,['Tickled'],4.00,3.75,0.25
DylanReeve,1,['Tickled'],4.00,3.75,0.25
AvaDuVernay,2,"['13th', 'When They See Us']",3.75,4.45,-0.70
JustinKurzel,1,"[""Assassin's Creed""]",2.50,2.01,0.49
DavidMorris,1,['McCullin'],3.50,4.08,-0.58
JacquiMorris,1,['McCullin'],3.50,4.08,-0.58
JohnSturges,1,['The Great Escape'],3.00,4.16,-1.16
RicRomanWaugh,1,['Snitch'],2.50,2.68,-0.18
MelGibson,1,['Hacksaw Ridge'],3.50,4.02,-0.52
MoiraDemos,1,['Making a Murderer'],3.50,3.95,-0.45
LauraRicciardi,1,['Making a Murderer'],3.50,3.95,-0.45
JoeCross,1,"['Fat, Sick & Nearly Dead']",2.00,3.26,-1.26
KurtEngfehr,1,"['Fat, Sick & Nearly Dead']",2.00,3.26,-1.26
PaulThomasAnderson,8,"['Punch-Drunk Love', 'There Will Be Blood', 'Boogie Nights', 'Magnolia', 'The Master', 'Phantom Thread', 'Licorice Pizza', 'One Battle After Another']",4.06,4.09,-0.03
YorgosLanthimos,4,"['The Lobster', 'Dogtooth', 'Poor Things', 'Bugonia']",3.88,3.81,0.07
PabloLarraín,1,['Jackie'],3.50,3.54,-0.04
LoneScherfig,1,['Their Finest'],2.50,3.32,-0.82
MarcRothemund,1,['My Blind Date with Life'],1.50,3.27,-1.77
TheodoreMelfi,1,['Hidden Figures'],3.00,3.90,-0.90
StephenGaghan,1,['Gold'],2.00,3.13,-1.13
AndrewNiccol,1,['Gattaca'],2.50,3.81,-1.31
MichelGondry,1,['Eternal Sunshine of the Spotless Mind'],4.50,4.24,0.26
BarryJenkins,1,['Moonlight'],4.00,4.20,-0.20
KennethLonergan,1,['Manchester by the Sea'],3.50,4.13,-0.63
